Date,Open,High,Low,Close
19/11/23,69.89537,70.669556,68.821861,70.640312
20/11/23,70.63932,70.959778,69.200745,69.517738
21/11/23,69.519119,71.643837,65.864296,66.457382
22/11/23,66.449669,69.052269,66.271072,68.705589
23/11/23,68.700592,70.593941,68.624847,69.512451
24/11/23,69.511108,71.632751,69.507187,70.735954
25/11/23,70.738464,72.083138,70.652245,71.833366
26/11/23,71.836105,71.846375,69.429031,70.05899
27/11/23,70.055466,70.459503,68.280457,69.242332
28/11/23,69.24424,70.164375,68.111427,69.737251
29/11/23,69.737106,70.417572,69.299042,69.989349
30/11/23,69.988968,70.108871,69.187241,69.44558
1/12/23,69.442284,72.139008,69.287735,71.544968
2/12/23,71.544434,72.677498,71.458717,72.272224
3/12/23,72.272415,72.713417,71.454407,72.256432
4/12/23,72.259773,74.971222,72.110649,72.821663
5/12/23,72.830307,74.29496,71.492302,74.291199
6/12/23,74.288979,74.644127,72.415291,72.415291
7/12/23,72.429695,74.440765,72.286278,74.058464
8/12/23,74.060219,78.563766,73.564705,78.398766
9/12/23,78.409485,79.432281,76.23912,76.27755
10/12/23,76.284004,78.705635,76.284004,77.141884
11/12/23,77.147018,77.461678,71.656647,72.650749
12/12/23,72.650223,73.620483,71.137817,72.412987
13/12/23,72.404373,73.931694,70.676971,73.197853
14/12/23,73.195175,74.016518,71.907013,72.963417
15/12/23,72.962944,72.979904,70.935616,70.955879
16/12/23,70.956932,72.460571,70.8433,72.13298
17/12/23,72.133156,73.491867,70.993378,71.234871
18/12/23,71.223412,71.4552,68.376556,70.802841
19/12/23,70.806755,71.574341,69.884979,70.614555
20/12/23,70.61554,71.857498,69.588707,69.804977
21/12/23,69.809822,71.042763,69.085365,70.92453
22/12/23,70.924004,73.761681,70.57711,73.729713
23/12/23,73.722198,74.003815,71.650833,72.540627
24/12/23,72.536018,72.917969,70.576263,71.174713
25/12/23,71.176849,72.721153,70.827148,72.275284
26/12/23,72.274742,74.283531,71.279106,73.15052
27/12/23,73.150154,76.862938,72.369438,75.850304
28/12/23,75.870583,77.433975,74.726974,76.722328
29/12/23,76.71389,77.712738,73.291084,73.404144
30/12/23,73.401978,74.007294,72.641197,73.312737
31/12/23,73.305855,74.162262,72.440132,72.798439
1/1/24,72.913292,74.731926,72.252098,74.731926
2/1/24,74.729744,75.80822,72.701019,72.984077
3/1/24,72.985168,73.573273,63.047882,65.301643
4/1/24,65.301285,65.856285,64.829857,65.70694
